Count.tree_pollen,Count.grass_pollen,Count.weed_pollen,Risk.tree_pollen,Risk.grass_pollen,Risk.weed_pollen,Species.Others,Species.Grass.Grass / Poaceae,Species.Tree.Oak,Species.Tree.Cypress / Juniper / Cedar,Species.Tree.Mulberry,Species.Tree.Pine,Species.Tree.Elm,Species.Tree.Ash,Species.Tree.Birch,Species.Tree.Maple,Species.Tree.Poplar / Cottonwood,Species.Weed.Ragweed,SpeciesRisk.Oak,SpeciesRisk.Cypress / Juniper / Cedar,SpeciesRisk.Mulberry,SpeciesRisk.Pine,SpeciesRisk.Elm,SpeciesRisk.Ash,SpeciesRisk.Birch,SpeciesRisk.Maple,SpeciesRisk.Poplar / Cottonwood,SpeciesRisk.Grass / Poaceae,SpeciesRisk.Ragweed,lat,lng,time,date,temp,min_temp,max_temp,precip,wind_spd
505,0,0,High,Low,Low,0,0,203,25,66,15,48,22,66,12,48,0,Very High,Low,High,Moderate,High,Low,Moderate,Moderate,High,Low,Low,33.7544657,-84.3898151,1682035200,2023-04-21,69.98,15.0,25.6,0.0,3.4
323,0,0,High,Low,Low,7,0,100,35,32,22,22,32,32,19,22,0,High,Low,Moderate,Moderate,High,Moderate,Low,High,Moderate,Low,Low,33.7544657,-84.3898151,1682121600,2023-04-22,64.58,13.3,21.7,3.5,5.4
343,0,0,High,Low,Low,0,0,135,20,43,12,31,18,43,10,31,0,High,Low,High,Low,High,Low,Low,Low,Moderate,Low,Low,33.7544657,-84.3898151,1682208000,2023-04-23,60.440000000000005,10.6,20.6,0.0,3.7
247,0,0,High,Low,Low,7,0,76,27,24,17,17,24,24,14,17,0,High,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1682294400,2023-04-24,58.1,10.0,20.6,0.5,4.0
743,0,0,Very High,Low,Low,0,0,305,31,102,18,71,28,102,15,71,0,Very High,Low,Very High,Moderate,Very High,Moderate,High,Moderate,High,Low,Low,33.7544657,-84.3898151,1682380800,2023-04-25,60.440000000000005,8.3,23.3,0.0,3.5
397,0,0,High,Low,Low,10,0,123,43,39,27,27,39,39,23,27,0,High,Low,High,High,High,High,Low,High,Moderate,Low,Low,33.7544657,-84.3898151,1682467200,2023-04-26,58.64,13.3,16.1,0.8,5.2
176,0,0,Moderate,Low,Low,6,0,54,19,17,12,12,17,17,10,12,0,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1682553600,2023-04-27,58.459999999999994,13.0,16.7,6.8,4.2
800,0,0,Very High,Low,Low,0,0,330,32,110,19,77,29,110,16,77,0,Very High,Low,Very High,Moderate,Very High,Moderate,High,Moderate,High,Low,Low,33.7544657,-84.3898151,1682640000,2023-04-28,67.46,15.6,25.6,0.0,3.5
397,0,0,High,Low,Low,10,0,123,43,39,27,27,39,39,23,27,0,High,Low,High,High,High,High,Low,High,Moderate,Low,Low,33.7544657,-84.3898151,1682726400,2023-04-29,66.38,13.9,23.3,4.0,2.6
920,0,0,Very High,Low,Low,0,0,382,34,128,20,90,31,128,17,90,0,Very High,Low,Very High,Moderate,Very High,Moderate,High,Moderate,High,Low,Low,33.7544657,-84.3898151,1682812800,2023-04-30,63.32,13.9,22.8,28.8,6.5
232,0,0,High,Low,Low,0,0,87,16,28,10,20,15,28,8,20,0,High,Low,Moderate,Low,Moderate,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1682899200,2023-05-01,59.0,10.0,19.4,0.0,5.8
137,0,0,Moderate,Low,Low,6,0,42,15,13,9,9,13,13,8,9,0,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1682985600,2023-05-02,60.62,9.4,22.2,0.0,6.6
162,7,0,Moderate,Low,Low,0,7,59,12,19,9,13,12,19,6,13,0,High,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1683072000,2023-05-03,60.8,8.9,21.7,0.0,5.8
250,2,2,High,Low,Low,2,2,77,25,25,22,17,25,25,15,17,2,High,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1683158400,2023-05-04,62.78,10.0,23.3,0.0,2.8
188,15,0,Moderate,Low,Low,7,15,58,16,18,18,15,16,16,11,13,0,High,Low,Low,Moderate,Moderate,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1683244800,2023-05-05,61.519999999999996,14.4,17.8,4.0,2.3
404,23,2,High,Low,Low,0,23,160,15,51,22,42,18,47,11,38,2,High,Low,High,Moderate,High,Low,Low,Low,Moderate,Low,Low,33.7544657,-84.3898151,1683331200,2023-05-06,66.74000000000001,15.0,23.9,0.0,3.4
252,40,16,High,Moderate,Low,6,40,78,17,25,32,22,20,20,15,17,16,High,Low,Moderate,High,High,Low,Low,Moderate,Low,Moderate,Low,33.7544657,-84.3898151,1683417600,2023-05-07,71.42,16.1,28.3,0.0,2.5
398,51,9,High,Moderate,Low,0,51,160,11,51,31,46,15,42,11,31,9,High,Low,High,High,High,Low,Low,Low,Moderate,Moderate,Low,33.7544657,-84.3898151,1683504000,2023-05-08,74.84,19.4,30.0,10.8,3.5
242,56,9,High,Moderate,Low,5,56,77,9,26,38,21,19,19,14,14,9,High,Low,Moderate,High,High,Low,Low,Moderate,Low,Moderate,Low,33.7544657,-84.3898151,1683590400,2023-05-09,75.02,20.0,28.9,0.0,3.5
357,37,15,High,Moderate,Low,0,37,144,4,50,33,46,12,31,10,27,15,High,Low,High,High,High,Low,Low,Low,Moderate,Moderate,Low,33.7544657,-84.3898151,1683676800,2023-05-10,75.38,20.0,28.3,0.0,3.3
121,25,13,Moderate,Low,Low,4,25,38,2,13,22,12,8,8,7,7,13,Moderate,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1683763200,2023-05-11,73.75999999999999,19.4,27.2,0.0,3.8
155,31,15,Moderate,Moderate,Low,4,31,49,1,17,31,17,9,9,9,9,15,Moderate,Low,Low,High,Moderate,Low,Low,Low,Low,Moderate,Low,33.7544657,-84.3898151,1683849600,2023-05-12,70.16,19.4,24.4,2.8,2.7
181,31,16,Moderate,Moderate,Low,0,31,68,0,14,45,14,13,7,13,7,16,High,Low,Low,High,Moderate,Low,Low,Moderate,Low,Moderate,Low,33.7544657,-84.3898151,1683936000,2023-05-13,74.66,18.9,30.0,0.0,1.6
122,21,8,Moderate,Low,Low,3,21,39,0,13,26,13,7,7,7,7,8,Moderate,Low,Low,Moderate,Moderate,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1684022400,2023-05-14,79.34,21.1,31.7,0.0,3.3
188,34,6,Moderate,Moderate,Low,0,34,71,0,14,49,14,13,7,13,7,6,High,Low,Low,High,Moderate,Low,Low,Moderate,Low,Moderate,Low,33.7544657,-84.3898151,1684108800,2023-05-15,76.46,21.1,28.3,1.0,3.7
154,36,6,Moderate,Moderate,Low,4,36,49,0,16,33,16,9,9,9,9,6,Moderate,Low,Low,High,Moderate,Low,Low,Low,Low,Moderate,Low,33.7544657,-84.3898151,1684195200,2023-05-16,74.48,20.0,30.6,15.3,3.1
210,28,11,High,Low,Low,0,28,81,0,15,55,15,15,7,15,7,11,High,Low,Low,High,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1684281600,2023-05-17,71.6,18.9,26.7,0.3,3.1
108,22,12,Moderate,Low,Low,5,22,34,0,11,23,11,6,6,6,6,12,Moderate,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1684368000,2023-05-18,68.0,18.0,22.2,0.0,4.8
129,25,12,Moderate,Low,Low,4,25,41,0,14,28,14,7,7,7,7,12,Moderate,Low,Low,High,Moderate,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1684454400,2023-05-19,66.92,16.7,22.8,0.0,4.4
273,38,20,High,Moderate,Low,0,38,107,0,18,72,18,20,9,20,9,20,High,Low,Low,High,Moderate,Low,Low,High,Low,Moderate,Low,33.7544657,-84.3898151,1684540800,2023-05-20,70.34,18.3,25.0,23.3,2.4
102,18,7,Moderate,Low,Low,2,18,32,0,11,22,11,6,6,6,6,7,Moderate,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1684627200,2023-05-21,72.14,18.3,26.1,0.0,3.2
144,30,5,Moderate,Moderate,Low,0,30,52,0,12,36,12,10,6,10,6,5,Moderate,Low,Low,High,Low,Low,Low,Low,Low,Moderate,Low,33.7544657,-84.3898151,1684713600,2023-05-22,67.28,17.8,21.4,23.0,5.6
108,25,4,Moderate,Low,Low,5,25,34,0,11,23,11,6,6,6,6,4,Moderate,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1684800000,2023-05-23,66.74000000000001,17.8,22.2,1.8,5.7
161,24,10,Moderate,Low,Low,0,24,60,0,13,41,13,11,6,11,6,10,High,Low,Low,High,Moderate,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1684886400,2023-05-24,70.88,18.0,26.1,0.0,4.3
153,32,17,Moderate,Moderate,Low,4,32,48,0,16,33,16,9,9,9,9,17,Moderate,Low,Low,High,Moderate,Low,Low,Low,Low,Moderate,Low,33.7544657,-84.3898151,1684972800,2023-05-25,71.6,16.7,27.2,0.0,4.7
116,23,11,Moderate,Low,Low,6,23,37,0,12,25,12,6,6,6,6,11,Moderate,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1685059200,2023-05-26,69.8,16.7,25.0,0.0,5.9
85,18,9,Low,Low,Low,18,18,22,0,8,15,8,3,4,3,4,9,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1685145600,2023-05-27,66.38,15.6,24.4,0.0,7.1
110,19,8,Moderate,Low,Low,3,19,35,0,12,24,12,6,6,6,6,8,Moderate,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1685232000,2023-05-28,68.0,14.4,25.6,0.0,4.5
139,29,5,Moderate,Low,Low,0,29,52,0,12,35,12,8,6,8,6,5,Moderate,Low,Low,High,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1685318400,2023-05-29,67.64,16.7,23.9,0.0,4.3
230,53,9,High,Moderate,Low,5,53,73,0,25,50,25,13,13,13,13,9,High,Low,Moderate,High,High,Low,Low,Moderate,Low,Moderate,Low,33.7544657,-84.3898151,1685404800,2023-05-30,71.78,16.1,27.8,0.0,4.0
197,27,11,Moderate,Low,Low,0,27,75,0,15,52,15,13,7,13,7,11,High,Low,Low,High,Moderate,Low,Low,Moderate,Low,Low,Low,33.7544657,-84.3898151,1685491200,2023-05-31,71.42,19.0,25.6,0.0,5.6
131,30,5,Moderate,Moderate,Low,6,30,41,0,14,28,14,7,7,7,7,5,Moderate,Low,Low,High,Moderate,Low,Low,Low,Low,Moderate,Low,33.7544657,-84.3898151,1685577600,2023-06-01,73.4,18.3,28.3,0.0,3.8
63,17,4,Low,Low,Low,24,17,11,0,6,8,6,1,3,1,3,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1685664000,2023-06-02,77.36,20.0,30.0,0.0,3.7
73,28,10,Low,Low,Low,3,28,23,0,8,16,7,4,4,4,4,10,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1685750400,2023-06-03,78.62,20.0,31.1,0.0,3.7
72,41,20,Low,Moderate,Low,5,41,23,0,7,15,7,4,4,4,3,20,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Moderate,Low,33.7544657,-84.3898151,1685836800,2023-06-04,73.4,20.0,27.8,6.0,3.4
31,21,11,Low,Low,Low,21,21,2,0,3,1,2,0,1,0,1,11,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1685923200,2023-06-05,72.5,17.8,28.9,0.0,2.3
112,93,53,Moderate,High,Moderate,6,93,38,0,13,25,8,6,6,6,4,53,Moderate,Low,Low,Moderate,Low,Low,Low,Low,Low,High,Moderate,33.7544657,-84.3898151,1686009600,2023-06-06,78.44,20.0,31.7,16.5,3.5
23,28,12,Low,Low,Low,18,28,1,0,2,0,1,0,1,0,0,12,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1686096000,2023-06-07,79.16,20.6,31.7,0.0,3.8
28,53,28,Low,Moderate,Moderate,6,53,9,0,3,6,1,1,1,1,0,28,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,33.7544657,-84.3898151,1686182400,2023-06-08,76.82,21.1,28.9,0.0,4.0
6,12,5,Low,Low,Low,5,12,0,0,0,1,0,0,0,0,0,5,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1686268800,2023-06-09,75.38,18.9,28.3,0.0,3.5
31,46,23,Low,Moderate,Moderate,4,46,11,0,3,7,0,2,2,2,0,23,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,33.7544657,-84.3898151,1686355200,2023-06-10,76.1,17.8,30.0,0.0,2.2
23,35,17,Low,Moderate,Low,5,35,8,0,2,5,0,1,1,1,0,17,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,33.7544657,-84.3898151,1686441600,2023-06-11,74.12,19.4,28.3,10.3,3.6
21,31,16,Low,Moderate,Low,16,31,1,0,2,0,0,1,0,1,0,16,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,33.7544657,-84.3898151,1686528000,2023-06-12,72.86,18.9,26.7,4.5,4.5
22,41,16,Low,Moderate,Low,4,41,8,0,2,5,0,1,1,1,0,16,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,33.7544657,-84.3898151,1686614400,2023-06-13,71.06,17.2,25.6,0.3,3.7
5,9,5,Low,Low,Low,4,9,0,0,0,1,0,0,0,0,0,5,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1686700800,2023-06-14,70.34,20.0,24.4,21.0,3.2
6,11,6,Low,Low,Low,3,11,2,0,0,1,0,0,0,0,0,6,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1686787200,2023-06-15,73.22,20.0,26.7,0.8,3.6
3,6,2,Low,Low,Low,3,6,0,0,0,0,0,0,0,0,0,2,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1686873600,2023-06-16,78.44,21.7,31.1,0.0,4.0
38,56,28,Low,Moderate,Moderate,5,56,14,0,4,9,0,2,2,2,0,28,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,33.7544657,-84.3898151,1686960000,2023-06-17,80.06,20.6,31.7,0.0,3.1
21,32,16,Low,Moderate,Low,4,32,7,0,2,5,0,1,1,1,0,16,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Low,33.7544657,-84.3898151,1687046400,2023-06-18,77.9,21.7,29.4,0.0,2.2
6,9,5,Low,Low,Low,5,9,0,0,0,1,0,0,0,0,0,5,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1687132800,2023-06-19,73.75999999999999,20.0,25.6,17.8,3.7
6,12,5,Low,Low,Low,3,12,2,0,0,1,0,0,0,0,0,5,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1687219200,2023-06-20,74.84,21.1,28.3,3.5,2.6
6,12,6,Low,Low,Low,5,12,0,0,0,1,0,0,0,0,0,6,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1687305600,2023-06-21,70.34,18.9,23.9,12.5,5.4
14,27,14,Low,Low,Low,5,27,5,0,1,3,0,0,0,0,0,14,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1687392000,2023-06-22,71.42,18.9,26.7,1.8,3.6
7,13,5,Low,Low,Low,6,13,0,0,0,1,0,0,0,0,0,5,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1687478400,2023-06-23,75.56,20.6,28.3,0.8,3.1
15,22,11,Low,Low,Low,3,22,5,0,1,3,0,1,1,1,0,11,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1687564800,2023-06-24,78.08,20.0,31.1,0.0,3.7
32,48,24,Low,Moderate,Moderate,2,48,12,0,4,8,0,2,2,2,0,24,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,33.7544657,-84.3898151,1687651200,2023-06-25,78.44,20.0,32.8,17.3,3.8
2,3,1,Low,Low,Low,2,3,0,0,0,0,0,0,0,0,0,1,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1687737600,2023-06-26,78.08,19.4,32.2,0.0,3.8
8,15,6,Low,Low,Low,2,15,3,0,1,2,0,0,0,0,0,6,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1687824000,2023-06-27,80.6,22.2,31.7,0.0,4.5
2,5,2,Low,Low,Low,2,5,0,0,0,0,0,0,0,0,0,2,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1687910400,2023-06-28,81.32,21.7,31.7,0.0,2.9
5,11,5,Low,Low,Low,3,11,1,0,0,1,0,0,0,0,0,5,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1687996800,2023-06-29,82.4,22.2,32.8,0.0,2.5
11,20,8,Low,Low,Low,10,20,0,0,1,0,0,0,0,0,0,8,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1688083200,2023-06-30,78.44,22.2,31.7,0.5,2.5
4,7,3,Low,Low,Low,3,7,0,0,0,1,0,0,0,0,0,3,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1688169600,2023-07-01,81.5,22.8,35.0,0.0,3.3
20,40,27,Low,Moderate,Moderate,3,40,7,0,2,5,0,1,1,1,0,27,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,Moderate,33.7544657,-84.3898151,1688256000,2023-07-02,81.5,23.3,33.3,9.0,2.8
4,8,7,Low,Low,Low,3,8,1,0,0,0,0,0,0,0,0,7,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1688342400,2023-07-03,78.25999999999999,22.2,31.1,1.8,2.4
6,16,19,Low,Low,Low,5,16,0,0,0,1,0,0,0,0,0,19,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1688428800,2023-07-04,80.42,22.8,32.8,29.5,1.7
1,5,7,Low,Low,Low,1,5,0,0,0,0,0,0,0,0,0,7,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1688515200,2023-07-05,81.14,24.4,30.6,0.0,2.5
0,5,9,Low,Low,Low,0,5,0,0,0,0,0,0,0,0,0,9,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1688601600,2023-07-06,81.86,22.8,33.3,0.0,3.2
0,6,13,Low,Low,Low,0,6,0,0,0,0,0,0,0,0,0,13,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1688688000,2023-07-07,80.78,23.3,32.8,10.3,2.9
0,4,12,Low,Low,Low,0,4,0,0,0,0,0,0,0,0,0,12,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1688774400,2023-07-08,82.22,22.8,33.3,0.0,3.6
0,8,20,Low,Low,Low,0,8,0,0,0,0,0,0,0,0,0,20,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1688860800,2023-07-09,80.6,22.2,32.2,4.0,4.1
0,4,10,Low,Low,Low,0,4,0,0,0,0,0,0,0,0,0,10,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1688947200,2023-07-10,77.36,21.1,30.0,17.8,3.7
0,6,17,Low,Low,Low,0,6,0,0,0,0,0,0,0,0,0,17,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1689033600,2023-07-11,80.42,21.7,31.7,0.0,2.9
0,5,14,Low,Low,Low,0,5,0,0,0,0,0,0,0,0,0,14,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1689120000,2023-07-12,82.58,23.3,32.8,0.0,2.2
0,3,8,Low,Low,Low,0,3,0,0,0,0,0,0,0,0,0,8,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1689206400,2023-07-13,82.22,23.3,32.8,0.3,2.9
0,3,10,Low,Low,Low,0,3,0,0,0,0,0,0,0,0,0,10,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1689292800,2023-07-14,82.58,23.9,33.3,2.3,2.5
0,1,4,Low,Low,Low,0,1,0,0,0,0,0,0,0,0,0,4,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1689379200,2023-07-15,83.66,25.0,33.3,0.0,3.7
0,5,14,Low,Low,Low,0,5,0,0,0,0,0,0,0,0,0,14,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1689465600,2023-07-16,82.75999999999999,23.0,33.9,0.0,4.1
0,4,10,Low,Low,Low,0,4,0,0,0,0,0,0,0,0,0,10,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1689552000,2023-07-17,81.14,21.7,32.2,0.0,2.6
0,3,9,Low,Low,Low,0,3,0,0,0,0,0,0,0,0,0,9,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1689638400,2023-07-18,82.94,22.8,33.3,0.0,2.7
0,4,11,Low,Low,Low,0,4,0,0,0,0,0,0,0,0,0,11,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1689724800,2023-07-19,83.12,24.4,33.9,0.8,3.3
0,2,7,Low,Low,Low,0,2,0,0,0,0,0,0,0,0,0,7,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1689811200,2023-07-20,83.48,23.3,35.0,10.8,3.8
0,3,9,Low,Low,Low,0,3,0,0,0,0,0,0,0,0,0,9,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1689897600,2023-07-21,80.78,22.2,33.9,10.5,4.3
0,0,2,Low,Low,Low,0,0,0,0,0,0,0,0,0,0,0,2,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1689984000,2023-07-22,76.82,21.7,30.0,2.5,3.4
0,6,14,Low,Low,Low,0,6,0,0,0,0,0,0,0,0,0,14,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1690070400,2023-07-23,81.68,22.2,32.8,0.0,2.5
0,4,12,Low,Low,Low,0,4,0,0,0,0,0,0,0,0,0,12,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1690156800,2023-07-24,82.04,22.8,33.9,0.0,3.1
0,3,9,Low,Low,Low,0,3,0,0,0,0,0,0,0,0,0,9,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1690243200,2023-07-25,83.66,21.7,34.4,0.0,2.9
0,4,11,Low,Low,Low,0,4,0,0,0,0,0,0,0,0,0,11,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1690329600,2023-07-26,84.91999999999999,24.4,34.4,0.3,2.3
0,4,11,Low,Low,Low,0,4,0,0,0,0,0,0,0,0,0,11,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1690416000,2023-07-27,86.0,23.9,35.0,0.0,2.0
0,6,16,Low,Low,Low,0,6,0,0,0,0,0,0,0,0,0,16,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1690502400,2023-07-28,84.38000000000001,25.0,33.3,3.8,1.9
0,1,3,Low,Low,Low,0,1,0,0,0,0,0,0,0,0,0,3,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1690588800,2023-07-29,85.82,25.0,35.6,0.0,2.8
0,4,11,Low,Low,Low,0,4,0,0,0,0,0,0,0,0,0,11,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1690675200,2023-07-30,84.02,24.4,33.9,0.3,3.9
0,11,28,Low,Low,Moderate,0,11,0,0,0,0,0,0,0,0,0,28,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,33.7544657,-84.3898151,1690761600,2023-07-31,84.56,23.3,35.0,0.0,3.4
0,8,19,Low,Low,Low,0,8,0,0,0,0,0,0,0,0,0,19,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1690848000,2023-08-01,84.56,23.3,35.0,0.0,3.9
0,4,11,Low,Low,Low,0,4,0,0,0,0,0,0,0,0,0,11,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1690934400,2023-08-02,81.68,23.9,32.2,0.0,3.4
0,3,11,Low,Low,Low,0,3,0,0,0,0,0,0,0,0,0,11,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1691020800,2023-08-03,78.62,23.3,32.8,21.3,3.7
0,3,12,Low,Low,Low,0,3,0,0,0,0,0,0,0,0,0,12,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1691107200,2023-08-04,79.52,22.8,31.7,0.0,3.4
0,2,11,Low,Low,Low,0,2,0,0,0,0,0,0,0,0,0,11,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1691193600,2023-08-05,83.84,23.3,35.0,0.0,2.2
0,3,15,Low,Low,Low,0,3,0,0,0,0,0,0,0,0,0,15,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1691280000,2023-08-06,80.06,21.7,35.6,35.0,2.9
0,2,8,Low,Low,Low,0,2,0,0,0,0,0,0,0,0,0,8,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1691366400,2023-08-07,77.36,21.7,33.9,39.5,3.9
0,3,19,Low,Low,Low,0,3,0,0,0,0,0,0,0,0,0,19,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1691452800,2023-08-08,77.18,22.2,30.0,0.8,3.3
0,5,27,Low,Low,Moderate,0,5,0,0,0,0,0,0,0,0,0,27,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,33.7544657,-84.3898151,1691539200,2023-08-09,78.62,20.6,31.7,2.0,3.1
0,2,12,Low,Low,Low,0,2,0,0,0,0,0,0,0,0,0,12,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1691625600,2023-08-10,78.08,20.6,30.6,4.8,4.1
0,6,44,Low,Low,Moderate,0,6,0,0,0,0,0,0,0,0,0,44,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Moderate,33.7544657,-84.3898151,1691712000,2023-08-11,79.52,22.2,32.2,14.3,3.0
